,Degree,Price,Volume,Type,Ratio
Westmalle triple,9.5,2.2,33.0,Trappiste,142.5
Chimay rouge,9.0,2.1,33.0,Trappiste,141.42857142857142
Rochefort 10,11.3,2.7,33.0,Trappiste,138.11111111111111
Rochefort 8,9.2,2.3,33.0,Trappiste,132.0
Chimay blanche,8.0,2.0,33.0,Trappiste,132.0
Rochefort triple extra ,9.0,2.3,33.0,Trappiste,129.13043478260872
Rochefort 6,7.5,2.1,33.0,Trappiste,117.85714285714285
Westmalle double,7.0,2.0,33.0,Trappiste,115.5
Chimay grande reserve (bleue),9.0,6.0,75.0,Trappiste,112.5
Chimay Cinq Cents(gde blanc),8.0,5.5,75.0,Trappiste,109.0909090909091
Chimay première (rouge),7.0,5.0,75.0,Trappiste,105.0
Chimay bleue,9.0,3.0,33.0,Trappiste,99.0
Chimay 150,10.0,3.5,33.0,Trappiste,94.28571428571429
Orval,6.2,3.0,33.0,Trappiste,68.2
Chimay dorée,4.8,2.5,33.0,Trappiste,63.36
